Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Belarus,BLR,Natural capital per capita (constant 2018 US$),NW.NCA.PC,7261.10823405163,7922.97779244435,8293.16061899268,8750.45034345659,9025.25403432612,9205.40587419444,9229.26200629524,9303.67708101839,9218.29000649046,9504.05793965925
Belarus,BLR,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,3765.11817109982,4223.9236853536,4519.68607995559,4802.22006715265,4976.16638885986,5059.28493980557,4970.52536797594,4970.81379619893,4971.16500887662,5095.22486461131
Belarus,BLR,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,1975.47040674116,2248.32730533644,2343.74452709207,2363.63679411173,2428.59413119637,2379.13636227285,2286.68313469978,2216.38375990605,2169.99529859103,2218.91095653277
Belarus,BLR,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,1789.64776435866,1975.59638001716,2175.94155286351,2438.58327304092,2547.57225766349,2680.14857753272,2683.84223327617,2754.43003629288,2801.16971028559,2876.31390807853
Belarus,BLR,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,1812.27230160751,1912.07286294456,1852.83655333554,1869.55034563236,1875.54866751287,1880.69558786362,1944.07695541983,2006.19071374013,1949.89074273673,1913.15727147323
Belarus,BLR,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,490.176475133166,516.452892947355,556.412246651268,650.860305139659,729.306294592697,806.439955544276,893.946089741566,1014.83736965341,1103.88634459416,1243.05643655947
Belarus,BLR,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,622.114147055374,611.333037260493,667.938651644262,716.031641345566,708.949322833413,742.976999896412,696.100746013109,573.531684158935,478.201229551025,517.014935084428
Belarus,BLR,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,622.114147055374,611.333037260493,667.938651644262,716.031641345566,708.949322833413,742.976999896412,696.100746013109,573.531684158935,478.201229551025,517.014935084428
Belgium,BEL,Human capital (constant 2018 US$),NW.HCA.TO,3179084907329.2,3269439163448.84,3511451119741.28,3535347747819.64,3577138751999.39,3531402176622.26,3520997315528.01,3543817487951.41,3596018315661.06,3637862555859.32
Belgium,BEL,Human capital per capita (constant 2018 US$),NW.HCA.PC,294455.329830641,300070.061715712,318116.24724153,318301.016682162,320549.17900202,315048.998022069,312305.845625534,312742.521455066,316129.087232112,318355.243255113
Belgium,BEL,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,104739.936521691,116687.161267494,126679.844882912,124026.398018488,124977.808134023,121239.731252415,119161.521355201,122883.163056454,124074.959772605,124679.858127766
Belgium,BEL,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,167609.66673417,161370.744852244,168519.456206149,171348.420928964,172491.727245955,170842.550024495,170444.130905792,167599.558374791,169753.634748625,171217.85411101
Belgium,BEL,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,113241.334616379,125924.575105914,136514.269195824,133652.992917228,134674.408724442,130772.930437797,128501.772677154,132299.74598591,133491.785730339,134142.593611024
Belgium,BEL,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,181213.995214262,174145.486609797,181601.978045707,184648.023764935,185874.770277578,184276.067584272,183804.07294838,180442.775469157,182637.301501773,184212.649644089
Belgium,BEL,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,8501.39809468753,9237.41383842004,9834.42431291219,9626.59489873989,9696.6005904193,9533.19918538165,9340.25132195316,9416.5829294554,9416.82595773369,9462.7354832584
