,user,text,favorite_count,retweet_count,created_at
108,nanashimumei_en,"【RESIDENT EVIL 7: BIOHAZARD】

mommy margie today !!

▶️ https://t.co/LQLqtC1hCm https://t.co/1hK579etvy",2313,218,2022-10-30 00:22:56+00:00
109,nanashimumei_en,"thumbnail!
https://t.co/drgAb9YJxf",611,25,2022-10-29 21:13:26+00:00
110,nanashimumei_en,"【MEMBERS ONLY】

Signing autographs and chatting with members today! 🤎

▶️ https://t.co/N3vqUEXl94 https://t.co/ayVEAsgaQD",2493,192,2022-10-29 21:13:15+00:00
111,nanashimumei_en,Starting now :D https://t.co/uhhBavjttI,2206,155,2022-10-29 03:16:24+00:00
112,nanashimumei_en,"thumbnail!
https://t.co/tJIfWMHQw2",1048,41,2022-10-29 02:27:10+00:00
113,nanashimumei_en,"a little gaming perhaps
▶️ https://t.co/r2hgx9zZPo https://t.co/DBXVEy7mXH",3269,271,2022-10-29 02:26:51+00:00
114,nanashimumei_en,starting now :D https://t.co/ZRR9kXiGAt,2014,155,2022-10-28 02:33:03+00:00
115,nanashimumei_en,"thumbnail!
https://t.co/Vc7dftVkXi",778,35,2022-10-28 00:40:39+00:00
116,nanashimumei_en,"【RESIDENT EVIL 7: BIOHAZARD】
 
Let's play with daddy Jacky some more!!

▶️ https://t.co/uhmjYrTdd7 https://t.co/DPwpz1YIDZ",3184,275,2022-10-28 00:40:21+00:00
117,nanashimumei_en,@takanashikiara CUTE ; O ;,2339,72,2022-10-28 00:39:03+00:00
118,nanashimumei_en,"I can stream later today!!!
What should I do? He he he",2216,140,2022-10-27 23:25:00+00:00
119,nanashimumei_en,@pakosun 💛💛💛,4705,111,2022-10-27 22:49:27+00:00
120,nanashimumei_en,"Starting now!!
I'm in a very good mood :D https://t.co/DNd8sizveP",2107,148,2022-10-27 02:34:40+00:00
121,nanashimumei_en,spooooky !!! https://t.co/h53XpLLPSn,4669,288,2022-10-27 02:12:55+00:00
122,nanashimumei_en,"【しょぼんのるきみん！】

happy thoughts only!!

▶️ https://t.co/qHZ88dYzx1 https://t.co/56vWQCN65Q",2739,283,2022-10-27 00:55:49+00:00
123,nanashimumei_en,What should I stream today?,2591,166,2022-10-26 22:29:27+00:00
